galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
UGC03546,full,30,29.23,28.7,0.7281500880383082,0.6460972953681775,0.2707694452579572,0.6307132410168174,139.95551262227772,119.92207148934604,1.6960154003252814,0.7704509423347039,0.2610728000787049
UGC08699,full,41,25.7,39.3,0.8764159986313107,0.6647832731749047,0.46323276351618214,0.8179448974131858,134.83328623155538,92.4828083032416,2.596493067119221,1.1243753366310973,0.26193893872570934
UGC07603,full,12,4.11,4.7,1.3365264210401584,0.6756813375666766,0.30116743579459737,0.7538785273448123,39.49719931045903,19.225427436897018,3.1009296032178546,1.793131542464903,0.5459839948832481
UGC03205,full,48,40.04,50.0,0.8567621256288973,0.6813633389449192,0.36431417053165005,0.8286500986585571,154.68732449399138,113.0304430055699,2.325675233775815,1.08881262431945,0.28726077038658404
UGC07524,full,31,10.69,4.74,1.1589202313615727,0.6934473194421399,0.5318586067813001,0.46775159688969403,42.14658026772966,23.860755290189253,2.32069364460854,1.6607144222732497,0.5130418474764226
NGC2903,full,34,24.96,6.6,0.8308425270619313,0.6959765765058791,0.28523644585226354,0.5504592054754791,133.83662390344148,113.35486650000107,1.925320490795196,0.9756566494139758,0.1923042274815788
NGC2998,full,13,42.28,68.1,1.1381436871301402,0.6993670093339645,0.8201412104351073,0.4102977947742962,165.06412398086155,75.08796863329339,6.1171011929914085,1.1635987294183687,0.15989286441503547
UGC04325,full,8,5.59,9.6,1.2283791383145721,0.7064731820774371,0.898178071614818,0.3279546355923105,51.175234032595334,22.17074579139232,2.3723728441080407,1.7171778053356097,0.645519079509111
NGC3109,full,25,6.45,1.33,1.7380939229975407,0.7123215515243014,0.910226858250234,0.3422070610844093,34.406610110312975,7.8960983543137635,3.198474530980073,2.3468228062034244,0.6908094159615967
UGC11820,full,10,15.82,18.1,1.3944003483766378,0.7353076262736855,0.7175317142464425,0.29695172014021604,40.596378305819364,12.88312427962449,3.25981288470716,1.846915704860528,0.3692360114091154
UGC06614,full,13,64.59,88.7,0.8348538172280192,0.7355635617827782,0.2158143783887028,1.0435015095385745,110.08055314025114,90.49423368277623,1.6218527961132922,0.9195761447673121,0.6175905583777275
UGC06983,full,17,15.68,18.0,1.2846558833034631,0.7369623554587194,0.3720473492070562,0.9934538772167802,77.39605141303207,42.9124246881749,3.288786884742981,1.7381208456224406,0.4544202524857496
F583-4,full,12,7.29,53.3,1.0712100069100747,0.7588424807682292,0.9866184306983786,0.2807648969499605,32.189777087295305,14.869380006684231,2.213001168164515,1.5075061871633302,0.6396718389261823
NGC6674,full,15,72.41,51.2,1.1535469276543944,0.7602361114972851,0.2797857285778089,0.8989795809350213,181.14486681205426,110.13622043006147,2.7643389708312798,1.4001080345856867,0.4096943423899816
UGC00128,full,22,53.75,64.5,1.8582217851089353,0.7656900617349485,0.673703655551851,0.7962404250964606,103.48768184308697,40.60673984009155,6.193445615611191,2.045838936432385,0.28196377492283975
NGC5055,full,28,54.59,9.9,0.9037413433196274,0.7797199166375853,0.29106744866292267,0.8871549203442105,147.96475371160912,116.84519739018539,2.605825825733104,0.9232722830864033,0.1786233371668733
UGC04278,full,25,6.69,9.51,1.1811461533805647,0.779813741561415,0.6617586488235204,0.719334393615017,39.79175947870485,25.337491307953556,2.1892300157671376,1.5698814589630306,0.4107915901956026
NGC5033,full,22,44.59,15.7,1.0754798163286208,0.7805957551247115,0.4515019630701111,0.5590240893874319,162.79935238457205,123.4234144989354,2.6075872959068898,1.3352448054920034,0.2301641007188303
UGC03580,full,47,27.06,20.7,0.8645745357392767,0.7837135725968142,0.3144039673010009,1.0686417567196453,66.24660618072738,57.29055787450989,1.8041654433001248,0.8051000544938036,0.2706385751295296
