r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.56,16.9,7.782030583337488,2.1716696971334795,0.7500062031269021,7885214.98938597,0.56,0.1866749373861952,1.4812682992743837,0.26787140299345646,0.13009052798738338,0.035589634677362765,0.2231075697211156,0.22464557656283968
1.11,27.4,11.718638999474297,2.3381554804469333,0.9306946692537765,35441898.3424438,1.11,0.1866749373861952,2.056745006844392,0.26787140299345646,0.13009052798738338,0.1599657353639292,0.4422310756972112,0.22464557656283968
1.67,33.5,14.213064412715505,2.3569864335540283,0.9451423032970676,78438912.69522029,1.67,0.8529129717060842,2.1064244688232594,0.3213709302951807,2.263616490254198,0.3540312155179206,0.6653386454183268,1.026399842258672
2.23,36.4,18.459471823429833,1.971887405456477,0.9571816169580472,176678233.9086379,2.23,0.5395184252484972,2.1482372591531953,0.12687282415808349,2.2942669804522726,0.7974308638019413,0.8884462151394423,0.6492592385633599
2.79,39.8,20.266469845535507,1.9638348613913894,1.0346855502512418,266440390.9870237,2.79,0.2738869438950539,2.426431994519571,0.027648679489141383,2.713115397269989,1.2025691361980588,1.111553784860558,0.32959695225208374
3.34,41.2,20.602448883567217,1.9997622725743862,0.9095617505392828,329627777.8423636,3.34,0.5386654655551961,1.9850551019965923,0.256028189705242,1.1333145936619313,1.4877631375570324,1.3306772908366535,0.6482327824960943
3.9,42.6,22.250224717966333,1.914587404845484,0.9333229387017324,448924239.28889465,3.9,0.3824689058900516,2.0657421589806217,0.28479173794802415,0.5136471480062053,2.026203432070137,1.553784860557769,0.46026504191763545
4.46,44.5,23.069442992842287,1.928958580135937,0.909201367015016,551885166.6275278,4.46,0.3824689058900516,1.9838426305315817,0.28479173794802415,0.5136471480062053,2.4909138800359694,1.7768924302788847,0.46026504191763545
