r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
1.44,26.1,29.03936121886981,0.8987801006807337,0.6419495973748047,282342499.61054754,1.44,0.35792025955753143,1.1776786686153808,0.07273515429672414,1.7612791701673804,0.06114274815261836,0.14285714285714285,0.9499758035962397
2.88,43.0,40.57920649790974,1.05965600885308,0.7830045366882871,1102653940.6776705,2.88,0.35792025955753143,1.5800294725050577,0.07273515429672414,1.7612791701673804,0.2387854902727807,0.2857142857142857,0.9499758035962397
4.33,48.5,42.56273604927202,1.1394944146413617,0.8466624831894484,1823839500.245297,4.33,0.3793378784604296,1.7785510517621284,0.06854996155130648,2.0991583770205215,0.3949620031986486,0.4295634920634921,1.0068214813277856
5.76,52.5,43.20567092408125,1.2151182675128518,1.0107649419112288,2500020879.3022866,5.76,0.018845964448799938,2.3389044400470818,0.0033712359490945536,0.10535316464598772,0.5413926249513052,0.5714285714285714,0.05002010851223457
7.2,56.4,41.58235803799491,1.356344436947655,1.0724560147081035,2894612070.4688077,7.2,0.029157533410330887,2.567666489236768,0.006408460933461994,0.13266239170397587,0.6268434155974718,0.7142857142857143,0.07738860959311249
8.64,58.5,42.91979729681863,1.3630073691968771,1.1054361437766875,3700570753.6312084,8.64,0.045464429243541715,2.694021932134923,0.004410872775649564,0.4686179882249299,0.8013779927652291,0.8571428571428572,0.12066963674833729
10.08,61.5,44.38799837793995,1.3855096478187765,1.1519768331126727,4617759393.244685,10.08,0.03627168161782701,2.8771426443494663,0.002458919976819055,0.5350458330437257,1.0,1.0,0.09627066077589157
11.47,64.6,45.67986427300326,1.414189841150174,1.2022052961328835,5564839882.722494,11.47,0.02517503655627964,3.081092142397824,0.0018917545667309094,0.33502362132802394,1.2050952439971845,1.1378968253968254,0.0668184461328943
13.0,65.6,50.03209369994424,1.3111584015136488,1.1678083733841456,7566244166.9321165,13.0,0.04237230776042009,2.9407176894141065,0.0038289148639531543,0.46890895429575774,1.6385098318463205,1.2896825396825398,0.11246266742400515
14.42,65.4,49.971513885412755,1.3087456215548234,1.1166441654621564,8372399032.762833,14.42,0.06557754422550141,2.737606615401035,0.005742675921041607,0.748851992655644,1.813086893399168,1.4305555555555556,0.17405295903199672
15.84,65.5,47.915561146667166,1.3669880605072688,1.1150870732797624,8455669111.885626,15.84,0.07272656440163497,2.7315320085740766,0.007241068051526307,0.7304382629783857,1.8311194654826353,1.5714285714285714,0.193027565820514
17.26,65.1,47.737835099635596,1.3636982042467387,1.434770293957893,9145466781.21607,17.26,6.329146380036781e-07,4.110905829309117,0.0,0.40058093899932695,1.9804987662620455,1.7123015873015874,1.679853475152956e-06
18.68,64.9,43.258688144695284,1.5002766561694392,1.4694813128324442,8127616571.376757,18.68,6.329146380036781e-07,4.2766692402253375,0.0,0.40058093899932695,1.760077968390176,1.853174603174603,1.679853475152956e-06
