r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.95,46.8,28.0072704846438,1.6709946806726534,0.7702045132695827,173262597.91532484,0.95,1.2494196132032718,1.5413840032086679,0.1773398552145224,8.802586243056652,0.07516340938847564,0.24934383202099736,0.9551970950688184
1.9,63.0,51.25967225802366,1.2290363403589384,0.861377879763111,1160766581.955912,1.9,1.2494196132032718,1.8259412870318612,0.1773398552145224,8.802586243056652,0.5035545746962212,0.4986876640419947,0.9551970950688184
2.86,66.8,51.47776704558969,1.297647583292427,0.8752961115349416,1762158945.4324782,2.86,1.3117634672115992,1.871282379263587,0.17825710518294027,9.653042397076211,0.7644458516536584,0.7506561679790026,1.0028597598892244
3.81,69.6,51.01135559853316,1.3644020862288426,1.1624639215429209,2305145539.8973713,3.81,0.10355162164641814,2.9191830010985513,0.013293346154763257,0.806639518806234,1.0,1.0,0.07916652431342268
4.76,73.4,47.750963341067795,1.5371417635227682,1.2190939662970033,2523543952.326369,4.76,0.11586139496660647,3.15114109455729,0.047755833935973914,0.2810936745781743,1.0947438713300164,1.2493438320209973,0.08857750169215425
5.72,74.7,45.78508163146594,1.631535804637775,1.1748354260061944,2787941520.2829175,5.72,0.24857858420460183,2.969145187665098,0.04867308390460323,1.2695171040789637,1.2094427323695323,1.5013123359580052,0.19004147127144966
6.67,76.1,46.03186722261003,1.6532025440545464,1.1810487241280017,3286114281.8612804,6.67,0.24857858420460183,2.994387639521696,0.04867308390460323,1.2695171040789637,1.4255560982963287,1.7506561679790025,0.19004147127144966
