r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.63,262.0,397.97377313084337,0.6583348393509872,0.23683019231862215,23200059564.83628,0.63,3.4409375394199593,0.3097452943104004,0.2655632742401944,44.58467076844555,0.3155191916169719,0.12949640287769784,0.24263461135591513
0.79,250.0,379.24370383699187,0.659206725044158,0.2722468964636534,26418216528.827625,0.79,3.4409375394199593,0.36860078088797193,0.2655632742401944,44.58467076844555,0.35928590182465076,0.16238437821171633,0.24263461135591513
0.95,241.0,361.7985854035364,0.6661164795080604,0.36137432528512486,28913254539.15567,0.95,5.599314542707497,0.5311431491529878,0.3760976583236756,83.36218706576835,0.39321824470817984,0.19527235354573483,0.39483062170270466
1.11,234.0,346.49261882470165,0.675339061460313,0.37992614273338937,30984935685.47122,1.11,5.150539669539816,0.5675731788453428,0.2923310322856024,90.74663979425165,0.4213929637750365,0.22816032887975335,0.36318566573070643
1.27,228.0,334.1647654975012,0.682298146127273,0.42646142911603147,32973471878.04441,1.27,5.9207235896846315,0.6628915847968255,0.37187800031396895,94.26469916438154,0.4484369172712918,0.26104830421377184,0.417494491158678
1.43,225.0,323.68898900024385,0.6951116894490054,0.1214571961339836,34836260951.28705,1.43,0.2048949972185108,0.14063460177453121,0.0014684991757234545,28.588344194671528,0.47377071871692583,0.29393627954779034,0.01444798618090147
1.59,222.0,315.622551317234,0.7033717935346976,0.5482990942245385,36827549493.24679,1.59,9.4229819146353,0.9391205599702228,0.5663611955380857,156.7773160715651,0.5008521039728309,0.32682425488180883,0.6644530824749476
1.9,221.0,305.49028282418413,0.7234272656953543,0.4194814922294099,41227599394.081726,1.9,3.013921886477937,0.6482356312493261,0.23228434286816152,39.10605865909099,0.560692475671272,0.39054470709146966,0.2125239871997018
2.06,221.0,302.3958612481328,0.7308301082158564,0.5767450877419208,43798430846.9603,2.06,7.3061181502307075,1.0091704528466874,0.4738443048226794,112.65169145613355,0.595655604086044,0.42343268242548815,0.5151843407772095
2.22,222.0,300.2213864800441,0.7394543160393954,0.3715857292478992,46523874156.399475,2.22,1.610489446004025,0.5510844696828,0.20416784432214313,12.703647160019766,0.6327214429641264,0.4563206577595067,0.1135622127246926
2.38,222.0,298.74076789082534,0.7431191985190645,0.42147620655612034,49386197440.07662,2.38,2.036995562956461,0.652411057056939,0.10805879532298109,38.39901149279108,0.671648839942929,0.48920863309352514,0.1436369074095369
2.79,221.0,294.67070621288434,0.7499897184905069,0.6298826435128478,56327149842.4752,2.79,5.839227111656081,1.1456604314912011,0.2963207522188114,115.06643731898187,0.7660453084061397,0.5734840698869476,0.41174784041398976
2.86,221.0,293.886450181018,0.7519911171946718,0.7890742743376438,57433436741.52678,2.86,16.12520596555404,1.5985039478855667,1.6499923350150771,157.58998506448432,0.7810907330573013,0.5878725590955807,1.1370543747637532
3.02,220.0,291.8598449598711,0.7537864622324069,0.5982172167230525,59812958346.48947,3.02,4.170970852816756,1.0634402066220907,0.3156493086845319,55.114956302451304,0.8134520608864285,0.6207605344295991,0.2941122529125131
4.17,205.0,270.24391519514364,0.7585739714138211,0.12241094685938907,70808851226.60088,4.17,0.03519089272986545,0.1418907187437049,0.0028245830221014985,0.4384360174350705,0.9629954369688791,0.8571428571428571,0.0024814541045746347
5.56,190.0,242.86491224547032,0.7823279132555868,0.27693185566509704,76250726645.29134,5.56,0.17707157612404928,0.3766304841518454,0.015366021107198728,2.040498503309096,1.0370045630311209,1.1428571428571428,0.012486042702850239
