r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
1.08,34.6,22.36491225111335,1.5470662085105018,0.1387950905416735,125602359.50066382,1.08,0.7974823058382919,0.16383839084768625,0.13396426466552566,4.747370723924269,0.01975018891508566,0.13846153846153847,0.9445043854430772
1.61,47.0,29.9290043269067,1.570383013301454,0.24573035491573866,335312743.8146811,1.61,0.7974823058382919,0.324228784440858,0.13396426466552566,4.747370723924269,0.05272584099776145,0.2064102564102564,0.9445043854430772
2.15,59.1,34.97988707814821,1.6895423323684635,0.344339817476638,611666804.2344527,2.15,0.8599584874814387,0.49848070034643566,0.1554426278987499,4.75756624928567,0.09618079616293604,0.2756410256410256,1.0184985381856408
2.7,64.4,38.81017005889049,1.6593588717153145,0.4339042947898638,945571776.6705188,2.7,0.36343846528524043,0.6786591129380796,0.09513979527689638,1.3883519263885453,0.14868527387749617,0.34615384615384615,0.4304411794312801
3.22,67.4,42.40056249626885,1.5896015531853156,0.5137386455874383,1345980453.9039416,3.22,0.3322867211562183,0.8568442603484586,0.058595914771741156,1.8843372526372706,0.21164704505790036,0.4128205128205128,0.39354636843840995
3.77,69.8,45.61245992050856,1.5302836137679143,0.5871104081939729,1823677269.4615796,3.77,0.19436156593060522,1.0352186290265741,0.029741917839740693,1.2701406316347472,0.28676189472239505,0.4833333333333333,0.23019363569461387
4.31,71.3,48.3927618554676,1.4733608346832607,0.6490037231446948,2346808934.3883038,4.31,0.21498086895995042,1.1965713055970733,0.025881706946526726,1.7856926559852564,0.36902109153080764,0.5525641025641025,0.25461426796873643
4.85,73.2,50.68751818741967,1.444142515112681,0.7004524835536372,2897233102.9944825,4.85,0.1590777217852665,1.338276269785033,0.019988565614014926,1.2660098807013755,0.45557186459445803,0.6217948717948717,0.18840493983692794
5.38,75.1,52.3372916762035,1.4349233136598496,0.7411637128562784,3426450099.630079,5.38,0.12424488597198936,1.4552844568876533,0.015035598426263208,1.0266828929953764,0.5387879419211904,0.6897435897435896,0.1471503992130133
5.92,78.5,53.916128384742166,1.4559650767174683,0.7768573792822282,4001278215.0754147,5.92,0.04473628756113867,1.5614169833510554,0.010332264839011366,0.19369765060574917,0.629176083663767,0.7589743589743589,0.052983770900750196
6.46,81.4,55.42527311615162,1.468644093632423,0.8077733880013329,4614108970.892206,6.46,0.030885056542087147,1.6560205882734307,0.006461447705853456,0.1476273988480615,0.7255399039651873,0.8282051282051281,0.03657895747040415
6.99,83.5,56.90559990018557,1.4673424082421052,0.8345768912402524,5262920783.508607,6.99,0.01709280131537595,1.7400510548501698,0.0009501743108724565,0.30748448307200704,0.8275615213970265,0.8961538461538461,0.020243992479443675
7.53,87.1,58.525417555110195,1.4882422653026384,0.8594275965983601,5996856591.977049,7.53,0.021320779214510064,1.8196281285316436,0.0030658817051193825,0.14826913430966301,0.9429683571159149,0.9653846153846153,0.025251431062160424
8.07,90.7,59.8550332052368,1.5153278704064697,0.8807963287721887,6722248024.255333,8.07,0.04012964216930271,1.889339153384324,0.004433040490427418,0.3632694499663843,1.0570316428840851,1.0346153846153845,0.047527854521268204
8.62,93.1,61.20565415057664,1.521101298434907,0.9007807176732893,7508099146.924721,8.62,0.03770981897428814,1.9556083894048972,0.012574543351492265,0.11308803885151224,1.1806018384883368,1.105128205128205,0.04466191805727902
9.14,95.9,62.578432386885495,1.532476866903711,0.9187657489186777,8322143506.374232,9.14,0.0711350237754318,2.0161354007206063,0.0065109846752026065,0.7771776251913518,1.3086052450191097,1.1717948717948719,0.08424931991922677
9.69,98.4,63.78135777795892,1.5427705434330585,0.9359222233172245,9165389860.285383,9.69,0.028451546165547414,2.0746577538459983,0.0010063369295880333,0.8043930967947871,1.4412004833403642,1.2423076923076921,0.033696810486281495
10.23,101.0,64.67244390001045,1.5617161484751574,0.9510583376532189,9948413417.160553,10.23,0.04673191670168925,2.126923887758834,0.0020492808478444952,1.0656772793786147,1.5643260618305135,1.3115384615384615,0.055347309829663086
10.76,103.0,65.27199093026043,1.5780122305454096,0.9644699876779654,10658734297.625385,10.76,0.09523198371906391,2.1737330519489606,0.006985545325131642,1.298270972552475,1.676019597169205,1.3794871794871792,0.1127887422687701
11.3,104.0,65.51851722986412,1.5873375100222136,0.9764760515735336,11278366654.963722,11.3,0.09809523342787226,2.216033174659163,0.007587385048080553,1.2682465382066088,1.77345292695683,1.4487179487179487,0.11617985438096343
11.84,105.0,65.3171684934367,1.6075405964750413,0.9865568536733065,11744811400.37806,11.84,0.07019072466740046,2.2518396068620126,0.003663664402113689,1.344756857776717,1.8467984586570805,1.5179487179487179,0.08313093190964196
12.38,105.0,64.80725345206352,1.6201890129114354,0.9951852121074134,12089477258.998674,12.38,0.05390526978462616,2.282696900423874,0.0022262249675223814,1.3052490889037325,1.9009950187169364,1.587179487179487,0.06384312647106626
12.91,105.0,63.8773864524841,1.6437742029114701,1.0017192312121788,12247858628.755312,12.91,0.07065927589388687,2.3061930748465924,0.007191120018135334,0.6942914674288866,1.925899502882356,1.655128205128205,0.08368586420717546
13.48,106.0,62.596118889273,1.6933957229441754,1.0072388067755147,12280734744.042542,13.48,0.07588752270657627,2.3261278248124464,0.007382227348090528,0.78010549269127,1.9310690672941893,1.728205128205128,0.08987797907494437
14.01,108.0,61.22786048850637,1.7639028889515687,1.0112363835800697,12211694992.222576,14.01,0.028722019822579322,2.340615114098997,0.008731752201056975,0.09447753482843672,1.920212996225813,1.796153846153846,0.0340171480703799
14.54,107.0,59.86697670669532,1.7872958663709084,1.0148218726482334,12116542370.335579,14.54,0.028722019822579322,2.353644335815081,0.008731752201056975,0.09447753482843672,1.905250838942263,1.864102564102564,0.0340171480703799
