r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.52,7.31,11.776459569836767,0.6207298515016533,0.3840360691823559,16767660.797366139,0.52,0.5831498547370662,0.5757648823453017,0.2757983221224613,1.233016033102858,0.03600682999179688,0.22033898305084748,0.6150941574319845
1.05,14.6,17.217026456389036,0.8479977676157959,0.6055069966384233,72367777.98186895,1.05,0.5831498547370662,1.0821373365099318,0.2757983221224613,1.233016033102858,0.15540237306604895,0.44491525423728817,0.6150941574319845
1.57,21.0,20.769133347349857,1.011115853935215,0.727223899780048,157462102.90380406,1.57,0.8266883672086862,1.4147348803147397,0.34004762978702846,2.0097586238321528,0.33813369902489293,0.6652542372881357,0.8719734396852781
2.09,28.1,26.94721506946497,1.0427793717296339,0.8372404857704421,352869163.96762544,2.09,0.6232909627783562,1.7485036060875054,0.154700481200507,2.5112502641646404,0.7577502998107878,0.885593220338983,0.6574341508804543
2.63,35.3,30.75746576036459,1.1476888335023074,0.8952693461047568,578490847.5183159,2.63,0.9572019460953533,1.9372287088020472,0.1571257256288197,5.831225675757053,1.242249700189212,1.1144067796610169,1.0096364077656244
3.15,43.0,32.674199301589624,1.3160230677147158,0.9288146203267202,781916011.9602596,3.15,0.5024883060349775,2.0503201989391906,0.0704842923710081,3.5822803806108485,1.6790843547443035,1.3347457627118644,0.5300140584950814
3.68,46.6,33.590095266313256,1.3873137194324687,0.9522188665783671,965405869.9205521,3.68,0.20887220363059036,2.130955867406494,0.03980208174929928,1.0961134576903602,2.0731099854293555,1.5593220338983051,0.22031399143715447
4.2,48.0,34.53778510559124,1.3897822299041809,0.9734145165378694,1164871183.0752099,4.2,0.20887220363059036,2.2052110838465198,0.03980208174929928,1.0961134576903602,2.5014412659111533,1.7796610169491527,0.22031399143715447
