r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.62,35.1,71.20472175354666,0.4929448375837757,0.033044729101806475,730884786.7079296,0.62,1.697648021054517,0.03446426945964179,0.1550140613475499,18.591918554592922,0.0027845556284327795,0.0545774647887324,0.7920884814399979
1.23,64.6,112.64443883299343,0.5734859232223254,0.09605470427302343,3628810323.396676,1.23,1.697648021054517,0.10804916234989481,0.1550140613475499,18.591918554592922,0.013825194331985896,0.10827464788732395,0.7920884814399979
1.83,80.1,139.72563186473698,0.5732663286686134,0.18884769409466168,8306974925.306506,1.83,2.383198040563903,0.2352101811289939,0.19222315682840796,29.54707952079713,0.03164826276888388,0.16109154929577466,1.111952356147694
2.47,113.0,159.1161164055986,0.7101731902000094,0.18131402853098946,14540017832.272709,2.47,0.9143633410484313,0.2240512385557669,0.0651480657789121,12.833233181327632,0.05539517202804666,0.21742957746478875,0.4266235764499481
3.08,136.0,171.24374966695865,0.794189570506941,0.1902598827023073,21000025376.955112,3.08,0.5703253483922397,0.2373183525579718,0.03766062379235662,8.636898974699,0.08000678071850355,0.2711267605633803,0.26610235663228793
3.68,150.0,180.90008955221666,0.8291869858732305,0.16563754472965805,28000451074.772556,3.68,0.2567549937233256,0.20130407982094844,0.013529084828391645,4.872696685552677,0.10667729723873959,0.323943661971831,0.11979672497371834
4.32,171.0,190.21,0.8990063613900425,0.15967698383363588,36340431795.13173,4.32,0.1545157554801537,0.19282274474970523,0.0037332044154060715,6.3953419194179535,0.138451306875059,0.3802816901408451,0.07209394915726093
4.91,192.0,198.61010069983854,0.966718204781395,0.12518651127361996,45032265964.87721,4.91,0.06231478077776638,0.1455596726599382,0.0007044230703878304,5.5124996136812605,0.17156582259481348,0.43221830985915494,0.029074825561819017
5.53,197.0,213.09009385703504,0.9244915914869788,0.11859594336919,58383657456.91029,5.53,0.037719330110428974,0.13688044048790657,0.0001299886912565635,10.945166461991555,0.22243251595425112,0.48679577464788737,0.017599082105102765
6.17,195.0,230.24,0.8469423210562891,0.2763396457933138,76047748823.38855,6.17,0.20042438491777606,0.3756123255816402,0.0043970323684272145,9.135692145026747,0.2897299148469352,0.5431338028169014,0.0935139939046109
6.78,196.0,253.17066437484416,0.7741813234324916,0.3262279736702656,101040643104.36627,6.78,0.21333494307327794,0.4645800717167754,0.01336567258634526,3.4051259030970757,0.3849488956036555,0.596830985915493,0.09953780112324863
7.38,216.0,275.54207900064915,0.7839093062787377,0.4874000573634144,130278235832.41682,7.38,0.4898414646942788,0.7962265180566318,0.012400153661817001,19.35013606102984,0.4963395071929652,0.6496478873239437,0.22855019244508976
8.0,225.0,287.96,0.7813585220169469,0.22019912447423876,154238915206.3168,8.0,0.04279247905835843,0.2832330752192264,0.00012070271365179328,15.171127546003095,0.5876259121435836,0.7042253521126761,0.019966111546098606
8.62,240.0,290.86,0.8251392422471292,0.3548306538431215,169556682504.86526,8.62,0.12596749943738378,0.5185068846218798,0.003368435185711565,4.710736600133004,0.6459841868291414,0.7588028169014084,0.05877390607634498
9.23,247.0,295.7360703397541,0.8352041728161057,0.34378466560719845,187693806440.73,9.23,0.09736306754188716,0.4974289308058477,0.003769657272314961,2.514702593995937,0.7150837651179107,0.8125000000000001,0.04542765247043914
9.85,254.0,302.52658329475776,0.8395956389476117,0.37041317343105296,209605638332.35294,9.85,0.10058814974813385,0.5487808681976952,0.009658761333804708,1.0475438330110804,0.7985643846802847,0.8670774647887324,0.04693241107503982
10.43,257.0,308.54194803948457,0.8329499493764502,0.11546096265207255,230861965140.168,10.43,0.0047588772837332555,0.13279156671757886,5.766008583784939e-06,3.927658565288929,0.8795476333795914,0.9181338028169014,0.0022203965923926505
11.05,273.0,313.37088329964547,0.871172194191881,0.30062667657031994,252301136509.48297,11.05,0.042094104649595364,0.4181159948357504,0.0007608091484303116,2.328985725141276,0.961227490986502,0.9727112676056339,0.019640264068851773
11.67,272.0,316.9943232930205,0.8580595298186806,0.4109923398961187,272655003166.7717,11.67,0.08800692638962584,0.6305814543853917,0.009474028556313442,0.8175211892714476,1.038772509013498,1.0272887323943662,0.0410622648603328
12.19,270.0,320.3239016995141,0.8428968258924324,0.5602340142312161,290818508264.53,12.19,0.2113007515088245,0.9682548101433253,0.014168030390676089,3.1513207098692155,1.1079725953634165,1.0730633802816902,0.0985886881815417
12.91,279.0,323.97946169471913,0.8611657002594115,0.5792444630195657,315065497431.0088,12.91,0.20735866123570998,1.0154258553400384,0.009304172308334632,4.621326106670325,1.2003497954145754,1.136443661971831,0.09674938800894699
14.56,287.0,327.4628754530809,0.8764352282771105,0.3920596599175264,363015494555.3383,14.56,0.04619597016799681,0.5918836699325667,0.0027439155893375384,0.7777453752787188,1.3830317130083034,1.2816901408450705,0.02155411216294816
16.63,291.0,317.20679012278407,0.9173826319649716,0.48114212454031297,389060235217.8957,16.63,0.06986708093875885,0.7820891917496288,0.0022248253050930773,2.194063950876746,1.4822580623891084,1.4639084507042253,0.032598577182713744
17.77,286.0,311.0854778031273,0.9193614630284902,0.35820472747481774,399840285164.06995,17.77,0.026604927032972153,0.5250085422957186,0.0018566831997882585,0.38122935701173716,1.5233283504814523,1.5642605633802817,0.01241332478288332
18.49,288.0,308.31840441335964,0.9340992813840625,0.6261990765638401,408672539035.9249,18.49,0.14950448521021206,1.1359619451000682,0.007313912541562244,3.0560375135681133,1.5569778430935473,1.6276408450704225,0.06975579106502114
