r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.22,12.4,38.3010508994205,0.32375090784226007,0.4182091271206497,75038424.4264586,0.22,4.601004267843666,0.6455776633297703,0.5553433371361932,38.11919376197369,0.007900485439092239,0.04612159329140462,1.0
0.78,37.5,85.73158694436958,0.43741170945935476,0.6136925352955698,1332956490.6031518,0.78,4.601004267843666,1.1032966215363254,0.5553433371361932,38.11919376197369,0.1403414773890222,0.16352201257861637,1.0
1.33,56.5,104.07309931005226,0.542887646995853,0.6980232136057412,3349409613.3143916,1.33,3.649146914380769,1.3314305423579733,0.2649428400894339,50.260928728021696,0.3526454890518118,0.2788259958071279,0.7931196543077756
2.33,69.1,114.57450894505287,0.6031009919766591,0.7799827342224412,7111669663.629326,2.33,0.3105336189757305,1.5708677196130911,0.013918535732207906,6.928252394468456,0.7487582935620166,0.4884696016771489,0.06749257355530927
3.44,85.5,107.55394228014146,0.7949499403499461,0.8310946160581946,9252322350.386314,3.44,1.6840499360564012,1.7290283551513879,0.09479376318567945,29.917835222729178,0.974138763783004,0.7211740041928721,0.3660179034882004
3.78,87.1,103.95592383313227,0.8378550907768466,0.8427413855615492,9497951107.556307,3.78,2.099406594854561,1.7660183413812087,0.1984632326675842,22.208184313419775,1.0,0.7924528301886793,0.4562931205100753
4.77,105.0,92.41437821031963,1.1361868362197667,0.870461358948068,9471900253.899755,4.77,0.05354571430823198,1.8554752295963002,0.0005975014899746109,4.798554595906749,0.997257213333534,1.0,0.011637831914754348
5.44,112.0,86.89113015722607,1.2889693090346555,0.8855880051999973,9549693585.776037,5.44,0.33653878655960884,1.9051339546403405,0.02339115371175718,4.841931110139578,1.0054477515870308,1.1404612159329142,0.07314463690278929
6.11,116.0,81.96657184486857,1.4152110718933533,0.8987165123322727,9544526734.80729,6.11,0.04720207561696947,1.9487152927325624,0.0008142728631763436,2.7362276741716594,1.0049037552124191,1.2809224318658283,0.010259081032996189
7.22,124.0,76.94565484808093,1.6115269958364988,0.9173255164290237,9939053836.51367,7.22,0.034370630521461505,2.0112574504483316,0.0007231720036906564,1.633553617139403,1.0464418824609905,1.5136268343815515,0.007470245303112889
9.33,135.0,69.3732001568329,1.9459964322649632,0.9457367728756942,10440102117.226355,9.33,0.02007455375509284,2.1084802295158265,0.000647536088554757,0.6223401530647423,1.0991951842035173,1.9559748427672958,0.004363080881144477
11.1,140.0,65.31475790355499,2.143466568562141,0.9652008722868292,11009947978.45107,11.1,0.02131754708104027,2.176297413309062,0.000635679075104029,0.7148855945557114,1.1591918987340186,2.3270440251572326,0.004633237841144424
15.55,144.0,56.566096736472815,2.545694476160512,1.0044115765122676,11568644150.889002,15.55,0.02131754708104027,2.3159069760536846,0.000635679075104029,0.7148855945557114,1.2180147086338766,3.2599580712788265,0.004633237841144424
